,Competition,Strength training,Recovery,Supplements,Cardiovascular training,Physiotherapy,Cancelled enrollment_False,Cancelled enrollment_True,Past injuries_False,Past injuries_True,Outcome
250,1,11,11,8,0,0,0,1,0,1,0
251,2,19,0,11,1,0,1,0,0,1,0
252,1,2459,248,597,959,35,1,0,0,1,0
253,1,1851,321,324,627,28,1,0,0,1,1
254,1,313,303,95,142,15,0,1,0,1,0
255,0,307,201,19,171,0,1,0,0,1,1
256,3,215,6,12,0,0,1,0,0,1,1
257,2,45,122,66,6,3,0,1,1,0,0
258,1,197,130,93,38,31,0,1,0,1,0
259,2,347,365,229,16,36,1,0,0,1,0
260,3,42,69,42,1,0,0,1,1,0,0
261,2,51,143,64,3,20,0,1,0,1,0
262,3,7,193,8,39,0,1,0,1,0,0
263,3,28,355,51,78,0,1,0,1,0,1
264,2,123,327,166,32,103,1,0,0,1,1
265,3,33,55,80,64,0,0,1,1,0,0
266,1,2853,1820,585,1864,55,1,0,0,1,1
267,2,7,7,16,44,0,0,1,1,0,0
268,1,1820,379,294,679,30,1,0,0,1,1
269,2,107,71,54,338,0,1,0,1,0,0
270,1,400,71,127,678,0,1,0,0,1,1
271,1,854,91,402,182,0,1,0,0,1,0
272,3,3,48,3,1,0,1,0,1,0,0
273,0,81,0,16,96,0,1,0,1,0,1
274,2,143,123,97,2,25,0,1,0,1,0
275,2,38,178,33,703,0,0,1,1,0,0
276,2,111,202,130,1,47,0,1,0,1,0
277,1,330,89,93,715,1,1,0,0,1,0
278,2,337,146,157,24,45,1,0,0,1,1
279,3,3,36,12,84,0,1,0,1,0,1
280,3,20,18,17,77,0,1,0,0,1,1
281,3,122,44,105,87,0,1,0,1,0,0
282,0,852,142,28,229,155,1,0,0,1,1
283,0,188,11,15,105,0,0,1,1,0,0
284,2,12,0,16,33,0,0,1,0,1,0
285,2,75,37,77,280,0,1,0,1,0,0
286,3,2352,344,114,205,0,1,0,0,1,1
287,1,185,207,112,76,21,0,1,0,1,0
288,3,263,649,289,110,0,1,0,1,0,1
289,3,12,142,9,74,0,1,0,1,0,1
290,1,1227,302,358,801,12,1,0,0,1,1
291,1,534,42,200,369,0,1,0,1,0,1
292,0,188,4,38,94,0,1,0,0,1,0
293,3,39,134,39,62,0,1,0,1,0,1
294,2,130,632,133,373,0,1,0,1,0,0
295,2,10,0,2,0,0,1,0,1,0,0
296,1,359,24,96,604,0,1,0,0,1,1
297,1,1033,54,183,802,7,1,0,0,1,1
298,2,564,46,131,983,0,1,0,1,0,1
299,2,760,885,257,1034,0,1,0,1,0,1
300,0,115,23,42,2,80,1,0,1,0,1
301,1,923,853,203,500,28,1,0,0,1,1
302,1,1272,497,325,1121,1,1,0,0,1,1
303,2,200,299,166,0,0,0,1,1,0,0
304,0,5,6,4,19,0,1,0,0,1,0
305,2,211,151,128,447,0,1,0,1,0,1
306,1,249,133,79,100,9,1,0,1,0,0
307,2,46,129,64,473,0,1,0,1,0,1
308,0,588,54,83,183,155,1,0,1,0,1
309,3,36,120,41,83,0,1,0,1,0,1
310,2,365,157,122,24,109,1,0,1,0,0
311,2,148,273,261,18,56,1,0,0,1,1
312,3,58,173,175,22,0,1,0,1,0,0
313,3,33,1,36,2,0,0,1,1,0,0
314,3,171,0,10,17,0,1,0,0,1,1
315,0,118,246,11,94,0,1,0,0,1,1
316,0,810,949,62,218,507,1,0,0,1,1
317,2,47,179,17,1,33,0,1,0,1,0
318,3,20,1,12,76,0,1,0,1,0,1
319,1,1404,25,185,447,24,1,0,0,1,1
320,2,80,70,87,460,0,1,0,0,1,1
321,0,162,35,4,2,0,0,1,1,0,0
322,2,77,87,88,3,19,0,1,1,0,0
323,1,1851,436,474,1128,37,1,0,0,1,1
324,1,1861,458,363,1126,87,1,0,0,1,1
325,2,585,563,177,9,0,1,0,1,0,1
326,0,179,52,1,1,0,1,0,1,0,0
327,1,227,160,66,111,28,0,1,0,1,0
328,2,462,292,298,30,109,1,0,1,0,1
329,2,279,5959,274,15,0,1,0,0,1,1
330,2,15,0,3,79,0,1,0,1,0,0
331,3,331,2589,50,169,0,1,0,1,0,1
332,0,97,246,25,86,0,1,0,0,1,1
333,2,98,5,80,532,0,1,0,1,0,1
334,2,336,638,721,21,153,1,0,0,1,1
335,2,199,86,36,2,0,1,0,1,0,1
336,2,12,56,22,1,7,0,1,1,0,0
337,3,13,233,36,128,0,1,0,1,0,1
338,1,115,20,70,32,0,0,1,1,0,0
339,2,175,268,301,9,100,1,0,0,1,1
340,2,95,114,305,15,75,1,0,0,1,1
341,1,1555,1023,384,953,138,1,0,0,1,1
342,2,45,145,119,631,0,1,0,1,0,0
343,2,265,604,768,36,239,1,0,0,1,1
344,1,211,95,90,168,5,0,1,0,1,0
345,1,670,29,148,652,5,1,0,0,1,1
346,3,0,36,0,0,0,0,1,0,1,0
347,0,1130,337,85,0,0,0,1,1,0,0
348,1,735,193,208,341,25,1,0,0,1,1
349,2,63,93,50,5,31,0,1,0,1,0
350,0,1414,322,30,0,0,1,0,0,1,1
351,3,17,15,16,56,0,1,0,1,0,1
352,2,15,2,20,66,0,0,1,1,0,0
353,0,790,627,108,0,0,1,0,0,1,1
354,3,406,119,90,490,0,1,0,0,1,1
355,0,394,478,26,162,0,1,0,0,1,1
356,3,531,26,28,192,0,1,0,0,1,1
357,3,1874,1208,52,160,0,1,0,0,1,1
358,2,170,33,93,9,10,0,1,1,0,0
359,1,50,3,29,63,4,1,0,1,0,0
360,3,91,4382,80,122,0,1,0,0,1,1
361,3,92,5,7,45,0,1,0,1,0,0
362,0,61,2,14,77,0,1,0,0,1,1
363,1,3380,712,468,2861,52,1,0,0,1,1
364,3,13,7,23,20,0,1,0,1,0,0
365,0,173,198,40,82,0,1,0,0,1,0
366,3,220,0,21,14,0,0,1,0,1,0
367,1,1533,380,274,565,48,1,0,0,1,1
368,2,125,793,427,22,151,1,0,0,1,1
369,1,126,107,125,661,1,1,0,0,1,1
370,0,121,56,28,82,0,1,0,0,1,1
371,1,502,58,116,109,8,0,1,0,1,0
372,0,155,20,15,73,0,1,0,0,1,1
373,0,171,11,14,130,0,1,0,0,1,1
374,0,53,0,2,1,0,1,0,0,1,0
375,0,97,21,25,107,0,1,0,0,1,1
376,2,70,2,9,0,0,1,0,1,0,0
377,3,41,572,30,40,0,1,0,1,0,1
378,0,409,82,79,26,0,0,1,0,1,0
379,0,346,121,19,118,0,1,0,0,1,1
380,1,1345,272,293,969,21,1,0,0,1,1
381,1,343,246,122,422,39,0,1,0,1,0
382,1,489,209,218,1179,3,1,0,0,1,1
383,0,168,60,42,0,0,1,0,1,0,0
384,1,1453,459,557,822,8,1,0,0,1,1
385,2,3,0,4,0,0,1,0,0,1,0
386,1,4072,81,819,1914,58,1,0,0,1,1
387,2,325,726,816,67,221,1,0,0,1,1
388,2,85,318,39,149,0,0,1,1,0,0
389,2,39,16,70,1430,0,1,0,1,0,0
390,0,122,7,28,99,0,1,0,0,1,1
391,0,170,63,6,93,0,1,0,0,1,1
392,2,210,50,189,6,19,0,1,0,1,0
393,2,260,77,129,11,157,1,0,1,0,1
394,3,151,15,28,37,0,0,1,0,1,0
395,2,341,785,209,25,106,1,0,0,1,1
396,3,9,75,17,1,0,0,1,1,0,0
397,3,1,0,4,91,0,1,0,1,0,0
398,2,134,165,133,26,59,1,0,0,1,1
399,0,21,25,10,0,0,1,0,0,1,0
400,1,596,417,312,821,120,1,0,0,1,0
401,2,96,6,69,538,0,1,0,1,0,1
402,0,254,26,28,171,0,1,0,0,1,1
403,1,459,70,119,633,4,1,0,0,1,1
404,1,1538,254,235,696,17,1,0,0,1,1
405,2,170,322,96,8,221,1,0,0,1,1
406,1,1214,125,459,1018,57,1,0,0,1,1
407,0,525,65,21,132,24,1,0,1,0,1
408,3,3,58,4,0,0,0,1,0,1,0
409,3,195,72,262,110,0,1,0,1,0,0
410,1,2380,1370,436,1097,119,1,0,0,1,1
411,2,178,427,96,314,0,1,0,1,0,1
412,3,21,279,34,66,0,1,0,1,0,1
413,1,182,235,147,551,6,1,0,0,1,1
414,0,322,17,54,81,0,1,0,0,1,1
415,3,74,41,58,66,0,1,0,1,0,1
416,0,597,394,23,96,0,1,0,0,1,1
417,3,83,245,120,100,0,1,0,1,0,1
418,2,93,88,176,16,0,1,0,1,0,1
419,3,0,2,4,59,0,1,0,1,0,0
420,1,1452,865,383,1570,27,1,0,0,1,1
421,0,1182,78,154,180,0,1,0,0,1,1
422,3,8,9,10,43,0,1,0,1,0,0
423,3,15,0,2,0,0,1,0,0,1,1
424,3,882,47,84,107,0,1,0,0,1,1
425,3,20,661,22,64,0,1,0,1,0,0
426,3,60,125,4,0,0,0,1,0,1,0
427,1,2905,754,550,1079,22,1,0,0,1,1
428,1,57,0,21,0,0,0,1,1,0,0
429,1,318,231,115,182,13,0,1,0,1,0
430,1,1223,587,369,662,3,1,0,0,1,1
431,3,25,35,18,67,0,1,0,1,0,1
432,0,73,109,31,0,0,1,0,1,0,0
433,0,961,150,43,132,226,1,0,0,1,1
434,2,45,0,74,9,10,1,0,1,0,0
435,2,213,870,641,26,280,1,0,0,1,1
436,2,91,15,30,123,0,1,0,1,0,0
437,0,599,85,64,87,89,1,0,1,0,1
438,1,319,10,137,590,0,1,0,0,1,1
439,2,312,164,77,573,0,1,0,1,0,1
440,2,314,256,264,12,105,1,0,0,1,1
441,2,193,22,94,535,0,0,1,1,0,0
442,2,246,33,125,222,0,0,1,1,0,0
443,0,413,420,20,100,0,1,0,0,1,1
444,3,386,9,61,2,0,1,0,1,0,1
445,1,411,156,152,129,2,1,0,0,1,0
446,3,13,2,24,47,0,0,1,1,0,0
447,1,736,175,195,526,26,1,0,0,1,1
448,2,10,0,5,56,0,0,1,1,0,0
449,2,25,9,42,3,0,1,0,1,0,0
450,2,250,41,100,4,24,1,0,0,1,0
451,1,353,201,114,241,18,0,1,0,1,0
452,2,26,43,30,4,0,0,1,0,1,0
453,1,2165,185,354,545,21,1,0,0,1,1
454,2,193,10,74,334,0,0,1,1,0,0
455,1,86,21,35,40,0,0,1,0,1,0
456,1,477,52,124,428,21,1,0,0,1,1
457,2,988,85,108,416,0,1,0,1,0,1
458,1,1799,189,377,895,22,1,0,0,1,1
459,1,3655,1778,993,1188,71,1,0,0,1,1
460,2,223,191,215,29,92,1,0,0,1,1
461,2,128,513,297,20,70,1,0,0,1,1
462,3,3,68,12,31,0,1,0,1,0,0
463,0,345,225,92,145,0,1,0,0,1,1
464,2,22,1,14,62,0,0,1,1,0,0
465,1,548,44,202,535,7,1,0,0,1,1
466,1,320,41,181,695,3,1,0,0,1,1
467,1,331,153,134,595,2,1,0,0,1,1
468,2,23,143,74,802,0,1,0,1,0,1
469,1,1493,418,353,892,51,1,0,0,1,1
470,2,152,1188,94,2,0,0,1,1,0,0
471,0,83,32,19,34,0,1,0,0,1,0
472,1,2236,2646,700,2049,91,1,0,0,1,1
473,3,240,262,31,101,0,1,0,0,1,1
474,1,305,150,91,212,0,0,1,0,1,0
475,2,31,9,19,162,0,1,0,1,0,1
476,0,1092,392,67,174,366,1,0,0,1,1
477,0,683,258,86,204,216,1,0,0,1,1
478,1,832,192,284,1322,34,0,1,0,1,0
479,1,1772,464,390,1167,36,1,0,0,1,1
480,2,162,0,15,3,0,1,0,0,1,1
481,0,760,321,13,191,363,1,0,0,1,1
482,1,1667,242,405,694,12,1,0,0,1,1
483,3,14,0,9,16,0,1,0,0,1,0
484,1,446,171,177,493,14,1,0,0,1,1
485,0,608,54,37,125,0,1,0,0,1,1
486,2,35,36,56,334,0,0,1,1,0,0
487,0,378,67,30,139,0,1,0,0,1,1
488,0,414,1218,33,105,0,1,0,0,1,1
489,0,573,87,69,0,0,1,0,1,0,1
490,1,1156,259,296,983,6,1,0,0,1,1
491,3,269,120,318,171,0,1,0,1,0,1
492,1,253,315,78,536,0,1,0,0,1,0
493,2,100,37,120,59,0,1,0,1,0,1
494,2,191,406,483,24,84,1,0,0,1,1
495,1,248,309,205,771,0,0,1,0,1,0
496,2,264,11,558,13,103,1,0,1,0,1
497,1,96,56,39,0,0,0,1,1,0,0
498,2,36,24,32,3,0,0,1,1,0,0
499,2,87,19,63,10,0,0,1,1,0,0
500,0,397,16,5,80,0,1,0,0,1,1
501,1,299,54,67,618,15,1,0,0,1,1
502,0,406,29,29,126,0,1,0,0,1,1
503,2,19,2,33,50,0,0,1,1,0,0
504,3,53,2294,52,144,0,1,0,1,0,1
505,0,736,96,10,167,291,1,0,0,1,1
506,3,57,608,148,133,0,1,0,1,0,1
507,0,18,2,7,0,0,0,1,0,1,0
508,2,180,122,125,8,0,1,0,1,0,0
509,1,1546,2120,392,352,37,0,1,0,1,0
510,1,344,214,125,345,18,0,1,0,1,0
511,2,28,0,4,1,0,1,0,0,1,1
512,0,263,89,72,72,287,1,0,1,0,1
513,3,30,137,18,69,0,1,0,1,0,1
514,2,510,412,279,5,65,1,0,0,1,1
515,3,130,171,36,37,0,1,0,0,1,1
516,3,53,0,15,0,0,1,0,0,1,0
517,1,268,56,82,56,4,0,1,0,1,0
518,2,11,9,19,50,0,0,1,1,0,0
519,2,75,0,84,388,0,1,0,1,0,1
520,3,207,3,5,56,0,1,0,0,1,0
521,3,357,51,15,64,0,1,0,1,0,1
522,2,87,448,174,20,50,1,0,0,1,1
523,1,129,121,82,44,7,0,1,0,1,0
524,1,559,150,191,828,3,1,0,0,1,1
525,2,44,127,154,1659,0,1,0,1,0,1
526,0,224,0,25,118,78,1,0,0,1,1
527,3,670,302,35,184,0,1,0,0,1,1
528,3,42,0,8,11,0,1,0,0,1,0
529,3,275,6,7,104,0,0,1,0,1,0
530,3,128,0,11,0,0,1,0,1,0,0
531,3,14,290,40,74,0,1,0,1,0,1
532,1,442,410,144,7,12,0,1,1,0,0
533,2,234,168,168,7,167,1,0,1,0,1
534,1,2078,1188,378,661,52,1,0,0,1,1
535,2,138,765,162,3,0,1,0,1,0,0
536,2,182,20,556,13,0,1,0,0,1,1
537,3,2,0,3,0,0,1,0,0,1,0
538,0,996,303,29,197,295,1,0,0,1,1
539,0,545,31,58,229,168,1,0,0,1,1
540,3,244,0,9,0,0,1,0,0,1,0
541,1,2371,655,560,623,314,1,0,0,1,1
542,2,51,139,43,0,0,0,1,0,1,0
543,0,864,175,74,121,232,1,0,0,1,1
544,3,61,169,59,68,0,1,0,1,0,1
545,2,160,9,31,314,0,1,0,1,0,0
546,2,19,4,23,119,0,0,1,1,0,0
547,2,20,38,53,1301,0,1,0,0,1,1
548,0,2776,186,7,179,289,1,0,1,0,1
549,3,16,0,7,0,0,0,1,0,1,0
550,3,635,205,41,150,0,1,0,0,1,1
551,3,19,559,37,54,0,1,0,1,0,0
552,3,7,2,8,69,0,1,0,1,0,1
553,2,257,20,107,1,0,1,0,1,0,1
554,3,98,250,108,54,0,1,0,1,0,1
555,0,1287,333,10,216,348,1,0,0,1,1
556,1,204,180,120,0,2,0,1,1,0,0
557,3,19,53,23,41,0,0,1,1,0,0
558,3,518,0,24,92,0,1,0,0,1,1
559,1,191,38,106,11,0,1,0,1,0,0
560,3,44,977,45,100,0,1,0,1,0,1
561,1,422,278,191,461,6,1,0,0,1,1
562,2,161,116,202,7,27,0,1,0,1,0
563,2,129,136,132,31,5,1,0,0,1,0
564,2,499,52,518,55,0,1,0,0,1,1
565,2,96,0,15,0,0,1,0,1,0,0
566,1,214,363,127,60,15,1,0,1,0,0
567,1,2244,186,734,1507,1,1,0,0,1,1
568,0,1034,1014,83,174,702,1,0,0,1,1
569,1,3633,440,511,3399,12,1,0,0,1,1
